vessel_id,lon,lat,speed,dt,dt_min,dt_max
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63157,37.94066,10.2,2019-04-29 20:40:27,2019-04-29 20:39:57,2019-04-29 20:40:57
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63161,37.94067,10.2,2019-04-29 20:40:28,2019-04-29 20:39:58,2019-04-29 20:40:58
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.62765,37.93958,10,2019-04-29 20:40:31,2019-04-29 20:40:01,2019-04-29 20:41:01
f6bc7f1c524e9ddb5ebee6ea1012f54502556638891b604dcd17ee19cf4e2b4f,23.63998,37.94212,0.1,2019-04-29 20:40:36,2019-04-29 20:40:06,2019-04-29 20:41:06
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63206,37.9408,10.2,2019-04-29 20:40:37,2019-04-29 20:40:07,2019-04-29 20:41:07
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63238,37.94089,10.2,2019-04-29 20:40:41,2019-04-29 20:40:11,2019-04-29 20:41:11
5de00399a2fdba5f2eb761a622a79a73af9d4058d51e6b16077c9c38969fb2de,23.6282,37.93975,10.2,2019-04-29 20:40:42,2019-04-29 20:40:12,2019-04-29 20:41:12
bfca0e846b6d35f8fde7611da7ff55835ba71a7eda53d3a3a6797947c9f70d8c,23.63274,37.94099,10.2,2019-04-29 20:40:47,2019-04-29 20:40:17,2019-04-29 20:41:17
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.63985,37.94789,5.4,2019-04-29 20:00:01,2019-04-29 19:59:31,2019-04-29 20:00:31
57139e85177dea04c5a366a3c24ca31a613754c1379d3e5cd844995e479ddf07,23.64313,37.94355,1.7,2019-04-29 20:00:04,2019-04-29 19:59:34,2019-04-29 20:00:34
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.63859,37.94382,9.8,2019-04-29 20:00:04,2019-04-29 19:59:34,2019-04-29 20:00:34
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64003,37.94796,5.1,2019-04-29 20:00:09,2019-04-29 19:59:39,2019-04-29 20:00:39
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64008,37.94798,5.1,2019-04-29 20:00:11,2019-04-29 19:59:41,2019-04-29 20:00:41
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.63626,37.9399,0.1,2019-04-29 20:00:11,2019-04-29 19:59:41,2019-04-29 20:00:41
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.63903,37.94392,9.3,2019-04-29 20:00:12,2019-04-29 19:59:42,2019-04-29 20:00:42
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64027,37.94803,4.8,2019-04-29 20:00:18,2019-04-29 19:59:48,2019-04-29 20:00:48
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64039,37.94805,4.6,2019-04-29 20:00:22,2019-04-29 19:59:52,2019-04-29 20:00:52
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.6396,37.94396,8.5,2019-04-29 20:00:23,2019-04-29 19:59:53,2019-04-29 20:00:53
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64044,37.94805,4.5,2019-04-29 20:00:25,2019-04-29 19:59:55,2019-04-29 20:00:55
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.6406,37.94805,4.1,2019-04-29 20:00:32,2019-04-29 20:00:02,2019-04-29 20:01:02
ce1b88a7983b03e73811ccc8ea111f6879a89ae04eca20ee8f6a8c1c080917b5,23.63627,37.9399,0.1,2019-04-29 20:00:32,2019-04-29 20:00:02,2019-04-29 20:01:02
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64,37.94391,7.1,2019-04-29 20:00:32,2019-04-29 20:00:02,2019-04-29 20:01:02
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64066,37.94805,3.9,2019-04-29 20:00:34,2019-04-29 20:00:04,2019-04-29 20:01:04
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64071,37.94804,3.6,2019-04-29 20:00:38,2019-04-29 20:00:08,2019-04-29 20:01:08
11e59aaa59860630711db1173860c9b322292d9da5a3311c469093a8d754c058,23.64028,37.94378,5.4,2019-04-29 20:00:42,2019-04-29 20:00:12,2019-04-29 20:01:12
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64079,37.94802,3.3,2019-04-29 20:00:42,2019-04-29 20:00:12,2019-04-29 20:01:12
1d2a32243707b28cb49a7c7806585b884d7f84b30c1a248eda6636f67780f0a4,23.64082,37.94801,3.1,2019-04-29 20:00:44,2019-04-29 20:00:14,2019-04-29 20:01:14
