id_,vessel_id,dt,lon,lat,heading,course,speed,geom
65291,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:21:29,23.637,37.93861,195,203,1.5,0101000020E6100000508D976E12A337406AD95A5F24F84240
56519,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:43:13,23.62378,37.90408,335,335,15.6,0101000020E61000001DE6CB0BB09F3740DD7BB8E4B8F34240
56565,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:43:25,23.62331,37.9049,335,335,15.1,0101000020E61000000F45813E919F3740401361C3D3F34240
56610,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:43:36,23.62291,37.90558,335,335,14.8,0101000020E6100000F3599E07779F3740B2F4A10BEAF34240
65364,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:21:49,23.63694,37.93849,198,202,1.4,0101000020E6100000A583F57F0EA33740C0CFB87020F84240
56658,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:43:49,23.62246,37.90636,335,335,14.5,0101000020E61000007311DF89599F37408733BF9A03F44240
56701,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:44:01,23.62207,37.90702,335,335,14.2,0101000020E61000009ED2C1FA3F9F3740B2683A3B19F44240
65527,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:22:29,23.63683,37.93829,200,203,1.1,0101000020E6100000971C774A07A33740F91400E319F84240
56750,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:44:13,23.62166,37.90772,335,335,14,0101000020E61000003A3B191C259F37406AF6402B30F44240
65608,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:22:49,23.63679,37.93822,200,206,0.9,0101000020E61000007B6B60AB04A33740003ACC9717F84240
56795,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:44:25,23.62121,37.90847,335,335,13.8,0101000020E6100000BBF2599E079F3740D5B2B5BE48F44240
56828,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:44:36,23.62084,37.90909,335,335,13.7,0101000020E6100000740CC85EEF9E3740718FA50F5DF44240
56868,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:44:48,23.62044,37.90977,335,335,13.5,0101000020E61000005721E527D59E3740E370E65773F44240
56908,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:45:00,23.62004,37.91044,335,335,13.4,0101000020E61000003B3602F1BA9E3740317C444C89F44240
65771,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:23:29,23.63674,37.93812,197,207,0.6,0101000020E6100000170E846401A337409CDCEF5014F84240
57006,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:45:25,23.61923,37.91182,335,335,13.2,0101000020E6100000BCB376DB859E37405BEB8B84B6F44240
57037,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:45:36,23.61888,37.91243,335,335,13.1,0101000020E6100000032670EB6E9E3740D4F19881CAF44240
57079,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:45:48,23.6185,37.91307,335,335,13,0101000020E610000075931804569E3740B77A4E7ADFF44240
57110,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 05:46:00,23.61812,37.91372,335,335,12.9,0101000020E6100000E700C11C3D9E3740BED9E6C6F4F44240
65942,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:24:08,23.63672,37.93805,193,182,0.3,0101000020E610000089B5F81400A33740A301BC0512F84240
66023,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:24:29,23.63672,37.93805,191,33,0.1,0101000020E610000089B5F81400A33740A301BC0512F84240
66105,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:24:49,23.63671,37.93806,191,328,0.2,0101000020E61000004209336DFFA23740C7D79E5912F84240
66269,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:25:29,23.63668,37.93803,189,201,0.2,0101000020E61000006C04E275FDA237405C55F65D11F84240
66346,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:25:49,23.63665,37.938,189,219,0.3,0101000020E610000097FF907EFBA23740F2D24D6210F84240
66426,84872dde83fa3649fba717401ad1ceb3de83b0585f476fb1cba40efe9994b398,2019-04-01 06:26:08,23.63663,37.93798,189,232,0.3,0101000020E610000009A7052FFAA23740AB2688BA0FF84240
